Cidade,CodigoDaCidade,Data,Regiao,Pais,Latitude,Longitude,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,VaiChover,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
Aparecida,3502507,2022-09-04,SP,Brasil,-22.8494,-45.2318,17.8,12.9,14.5,Sim,100.0,"Rain, Overcast",06:08:24,17:51:51,14.4
Arapeí,3503158,2022-09-04,SP,Brasil,-22.6728,-44.4469,19.0,10.0,15.5,Sim,100.0,"Rain, Overcast",06:05:10,17:48:48,24.1
Areias,3503505,2022-09-04,SP,Brasil,-22.5808,-44.696,18.0,10.9,14.1,Sim,100.0,"Rain, Overcast",06:06:06,17:49:51,14.8
Bananal,3504909,2022-09-04,SP,Brasil,-22.6838,-44.3237,19.0,10.7,16.2,Sim,100.0,"Rain, Overcast",06:04:41,17:48:18,24.1
Cachoeira Paulista,3508603,2022-09-04,SP,Brasil,-22.67,-45.0069,17.7,12.8,15.0,Sim,100.0,"Rain, Overcast",06:07:24,17:51:03,14.3
Campos do Jordão,3509700,2022-09-04,SP,Brasil,-22.718,-45.5656,16.8,9.9,13.1,Sim,100.0,"Rain, Overcast",06:09:40,17:53:15,13.9
Canas,3509957,2022-09-04,SP,Brasil,-22.7042,-45.054,17.8,12.9,15.0,Sim,100.0,"Rain, Overcast",06:07:36,17:51:13,14.5
Caraguatatuba,3510500,2022-09-04,SP,Brasil,-23.6227,-45.4075,16.4,10.9,12.9,Sim,100.0,"Rain, Overcast",06:09:32,17:52:08,19.6
Caçapava,3508504,2022-09-04,SP,Brasil,-23.1022,-45.7045,16.5,11.6,13.8,Sim,100.0,"Rain, Overcast",06:10:26,17:53:36,18.9
Cruzeiro,3513405,2022-09-04,SP,Brasil,-22.5739,-44.9624,17.6,10.7,13.8,Sim,100.0,"Rain, Overcast",06:07:10,17:50:55,14.2
Cunha,3513603,2022-09-04,SP,Brasil,-23.0732,-44.9583,17.2,10.6,13.5,Sim,100.0,"Rain, Overcast",06:07:26,17:50:38,13.5
Guaratinguetá,3518404,2022-09-04,SP,Brasil,-22.8201,-45.1956,17.9,12.9,14.5,Sim,100.0,"Rain, Overcast",06:08:14,17:51:43,14.7
Igaratá,3520202,2022-09-04,SP,Brasil,-23.2052,-46.1556,15.0,9.9,12.2,Sim,100.0,"Rain, Overcast",06:12:18,17:55:21,19.5
Ilhabela,3520400,2022-09-04,SP,Brasil,-23.824,-45.3669,17.3,15.3,16.5,Sim,100.0,"Rain, Overcast",06:09:29,17:51:51,16.6
Jacareí,3524402,2022-09-04,SP,Brasil,-23.3028,-45.9727,15.8,10.0,12.9,Sim,100.0,"Rain, Overcast",06:11:37,17:54:34,22.2
Jambeiro,3524907,2022-09-04,SP,Brasil,-23.2555,-45.691,16.2,11.3,13.6,Sim,100.0,"Rain, Overcast",06:10:28,17:53:28,21.2
Lagoinha,3526308,2022-09-04,SP,Brasil,-23.0906,-45.1902,16.9,12.0,14.2,Sim,100.0,"Rain, Overcast",06:08:22,17:51:33,13.4
Lavrinhas,3526605,2022-09-04,SP,Brasil,-22.5636,-44.9243,17.6,10.7,13.8,Sim,100.0,"Rain, Overcast",06:07:01,17:50:46,14.1
Lorena,3527207,2022-09-04,SP,Brasil,-22.7344,-45.1188,17.9,12.9,15.0,Sim,100.0,"Rain, Overcast",06:07:53,17:51:28,14.6
Monteiro Lobato,3531704,2022-09-04,SP,Brasil,-22.9547,-45.8385,16.4,11.6,13.8,Sim,100.0,"Rain, Overcast",06:10:53,17:54:13,19.0
Natividade da Serra,3532306,2022-09-04,SP,Brasil,-23.3777,-45.4446,16.6,10.9,13.2,Sim,100.0,"Rain, Overcast",06:09:33,17:52:25,17.2
Paraibuna,3535606,2022-09-04,SP,Brasil,-23.39,-45.6623,16.2,10.4,12.6,Sim,100.0,"Rain, Overcast",06:10:25,17:53:16,21.4
Pindamonhangaba,3538006,2022-09-04,SP,Brasil,-22.9295,-45.4621,16.9,12.1,14.5,Sim,100.0,"Rain, Overcast",06:09:22,17:52:44,14.5
Piquete,3538501,2022-09-04,SP,Brasil,-22.6091,-45.1842,17.7,9.4,13.1,Sim,100.0,"Rain, Overcast",06:08:04,17:51:47,14.4
Potim,3540754,2022-09-04,SP,Brasil,-22.8392,-45.2581,17.8,12.9,14.5,Sim,100.0,"Rain, Overcast",06:08:30,17:51:58,14.4
Queluz,3541901,2022-09-04,SP,Brasil,-22.5394,-44.7735,18.0,10.9,14.1,Sim,100.0,"Rain, Overcast",06:06:24,17:50:11,14.8
Redenção da Serra,3542305,2022-09-04,SP,Brasil,-23.2789,-45.5349,16.6,10.9,13.2,Sim,100.0,"Rain, Overcast",06:09:51,17:52:50,17.5
Roseira,3544301,2022-09-04,SP,Brasil,-22.9003,-45.308,17.2,12.0,14.3,Sim,100.0,"Rain, Overcast",06:08:44,17:52:08,13.1
